name,category,lat,lon,brand,address,website,phone
Anchorpoint,mall,1.2886901,103.8050249,,Alexandra Road,,
Queensway Shopping Centre,mall,1.287553,103.8034772,,,,
Cathay Cineleisure Orchard,mall,1.3014619,103.8364924,,Grange Road,,
100AM,mall,1.274904,103.8436136,,Tras Street,https://www.100am.com.sg/,
Parkway Parade,mall,1.3013803,103.9052851,,Marine Parade Road,https://www.parkwayparade.com.sg/,
i12 Katong,mall,1.3051692,103.9050088,,East Coast Road,,
Katong Plaza,mall,1.3042065,103.9038703,,Brooke Road,,
Katong Shopping Centre,mall,1.3038781,103.9011475,,Mountbatten Road,,
Odeon Katong Shopping Complex,mall,1.3046858,103.901932,,Mountbatten Road,,
Bras Basah Complex,mall,1.2968252,103.8536294,,Bain Street,,
Roxy Square,mall,1.3033499,103.9046089,,East Coast Road,,
Orchard Plaza,mall,1.3012613,103.841131,,Orchard Road,,
The Centrepoint,mall,1.3018969,103.8398119,,Orchard Road,https://www.thecentrepoint.com.sg/,+65 6737 9000
The Cathay,mall,1.2994807,103.847662,,,,
Ngee Ann City,mall,1.3026133,103.8347141,,Orchard Rd,https://www.ngeeanncity.com.sg/,
Pacific Plaza,mall,1.3065597,103.8321236,,Scotts Road,,
Parklane Shopping Mall,mall,1.3006629,103.849441,,Selegie Road,https://www.parklaneshoppingmall.com/,
GR.ID,mall,1.3001326,103.8493281,,Selegie Road,,6563394608
Sunshine Plaza,mall,1.3003536,103.8509415,,Bencoolen Street,,
Fortune Centre,mall,1.3003923,103.852284,,Middle Road,,
Peninsula Plaza,mall,1.2923267,103.8508288,,North Bridge Road,,
Suntec City,mall,1.2949861,103.8578759,,Temasek Boulevard,,
Tanglin Mall,mall,1.3048369,103.8238575,,Tanglin Road,,+65 68361146
East Point,mall,1.3427269,103.9529868,,Simei Street 6,https://eastpoint.fraserscentrepointmalls.com/index.php,
Tanjong Katong Complex,mall,1.3163748,103.8943388,,Geylang Road,,
City Plaza,mall,1.3147731,103.8934464,,Geylang Road,,
Tekka Centre,mall,1.3062231,103.8505301,,Buffalo Road,,
Mustafa Centre,mall,1.3101243,103.8553164,,Syed Alwi Road,https://mustafa.com.sg,
OUE Downtown,mall,1.2774025,103.8486711,,Shenton Way,,
Bugis+,mall,1.2996734,103.8541655,,Victoria Street,https://www.capitaland.com/sg/malls/bugisplus/en/,+65 6557 6557
Sun Plaza,mall,1.4481927,103.8195153,,Sembawang Drive,,
313@Somerset,mall,1.3010177,103.8382874,,Orchard Road,https://www.313somerset.com.sg/,+65 6496 9313
Depot Heights Shopping Centre,mall,1.2811645,103.8103282,,Depot Road,,
,mall,1.2830844,103.7805052,,,,
Sembawang Shopping Centre,mall,1.4418971,103.824931,,Sembawang Road,,
Causeway Point,mall,1.4360803,103.7860055,,Woodlands Square,,
Simei Plaza /Blk 248,mall,1.3435043,103.9536221,,Simei Street 3,,
The Centris,mall,1.3394539,103.7052344,,,,
Pioneer Mall,mall,1.341702,103.6971791,,Jurong West Street 61,,
Gek Poh Shopping Centre,mall,1.3490591,103.6977387,,Jurong West Street 75,,
City Square Mall,mall,1.3113867,103.8565834,,Kitchener Road,https://www.citysquaremall.com.sg/,+65 6595 6595
The Star Vista,mall,1.306826,103.7884524,,Vista Exchange Green,,
Hougang 1,mall,1.3757064,103.879514,,Hougang Street 91,,
Alexandra Central,mall,1.2873166,103.8053276,,Alexandra Road,https://www.parkhotelgroup.com/alexandra/default-en.html,
Old Airport Road Food Centre & Shopping Mall,mall,1.3082432,103.8858159,,Old Airport Road,,
Djitsun Mall Bedok,mall,1.3261293,103.9295546,,Bedok North Street 1,,
Thomson Plaza,mall,1.3546008,103.8307608,,Upper Thomson Road,https://www.thomsonplaza.com.sg/,
Bukit Timah Shopping Center,mall,1.3432601,103.7760509,,Upper Bukit Timah Road,https://www.bukittimahshoppingcentre.sg/,
Beauty World Centre,mall,1.3423587,103.7765589,,Upper Bukit Timah Road,https://www.beautyworldcentre.net/,
Beauty World Plaza,mall,1.3418287,103.7763037,,Upper Bukit Timah Road,,
The Clementi Mall,mall,1.3149817,103.7642331,,Commonwealth Avenue West,,
Grantral Mall @ Clementi,mall,1.3142963,103.7651379,,Commonwealth Avenue West,,
Greenwich V,mall,1.3875058,103.869389,,,,
Upper Serangoon Shopping Centre,mall,1.3536238,103.8788344,,Upper Serangoon Road,,
West Coast Plaza,mall,1.3036424,103.766276,,West Coast Road,,
Icon Village,mall,1.2751635,103.8445351,,Gopeng St,http://www.iconvillage.com.sg/,
Ang Mo Kio Hub,mall,1.369444,103.8483419,,Ang Mo Kio Avenue 3,,+65 67539000
Admiralty Place,mall,1.4402582,103.8012976,,Woodlands Avenue 6,,
Leisure Park Kallang,mall,1.3021844,103.8765537,,,,
Delfi Orchard,mall,1.3071812,103.8284739,,Orchard Road,,
Orchard Building,mall,1.3014048,103.83735,,Grange Road,,
Tekka Place,mall,1.3045543,103.8523047,,Serangoon Road,https://www.tekkaplace.sg/,
Westgate,mall,1.3341755,103.7428751,,Gateway Drive,,
Coronation Plaza,mall,1.3237824,103.8100055,,Bukit Timah Road,,
Great World City,mall,1.2936086,103.8318929,,Kim Seng Promenade,https://shop.greatworld.com.sg/,
West Mall,mall,1.3500366,103.7492868,,Bukit Batok Central Link,https://www.westmall.com.sg/,+65 6309 1166
Tampines Mall,mall,1.352542,103.9447432,,Tampines Central 5,https://www.capitaland.com/sg/malls/tampinesmall/en.html,+65 6788 8370
Century Square,mall,1.3523775,103.9438195,,Tampines Central 5,https://www.centurysquare.com.sg/,+65 6789 6261
Tampines 1,mall,1.3542178,103.9450121,,Tampines Central 1,https://www.tampines1.com.sg/,+65 6572 5522
Rochester Mall,mall,1.3056598,103.7882026,,Rochester Drive,,
HDB Hub,mall,1.331993,103.8484823,,Lorong 6 Toa Payoh,,
Concorde Shopping Centre,mall,1.2889501,103.8342288,,Outram Road,,
Tiong Bahru Plaza,mall,1.2864016,103.8273286,,Tiong Bahru Road,,
Bugis Junction,mall,1.2998158,103.8559023,,Victoria Street,https://www.capitaland.com/sg/malls/bugisjunction/en.html,+65 6557 6557
Far East Shopping Centre,mall,1.3055354,103.8300911,,Orchard Road,,
Forum The Shopping Mall,mall,1.3060918,103.8287068,,Orchard Road,,
Liat Tower,mall,1.3051056,103.8307274,,Orchard Road,,
Lucky Plaza,mall,1.304515,103.833963,,Orchard Road,http://luckyplaza.com.sg/,
Paragon,mall,1.3038335,103.8356396,,Orchard Road,https://www.paragon.com.sg/,+65 6738 5535
Tang Plaza,mall,1.3050171,103.8330376,,Orchard Road,,
Wisma Atria,mall,1.3036801,103.8332105,,Orchard Road,https://www.wismaonline.com/,+65 6235 2103
The Heeren,mall,1.3026344,103.8373397,,Orchard Road,,
Velocity @ Novena Square,mall,1.3197931,103.8438327,,Thomson Road,,
Square 2,mall,1.3206989,103.8441378,,Sinaran Drive,,
United Square,mall,1.3171615,103.8436059,,Thomson Road,https://www.unitedsquare.com.sg/,+65 62515885
Changi Airport Terminal 2,mall,1.3537945,103.9904486,,Airport Boulevard,,
Changi Airport Terminal 3,mall,1.3546069,103.9850767,,Airport Boulevard,,
Plaza 8,mall,1.3335115,103.9655221,,,,
Lot One Shoppers' Mall,mall,1.385156,103.745025,,Choa Chu Kang Avenue 4,http://www.lot1.com.sg/,+65 6631 9931
Bukit Panjang Plaza,mall,1.3800081,103.7643116,,Jelebu Road,https://www.capitaland.com/sg/malls/bukitpanjangplaza/en.html,
Valley Point Shopping Centre,mall,1.2931162,103.8270506,,,,
Downtown East,mall,1.3773417,103.9545899,,Pasir Ris Close,,
nex,mall,1.3504477,103.8723218,,Serangoon Central,https://www.nex.com.sg,+65 6416 6366
Fusionopolis 1,mall,1.2992432,103.7875698,,Fusionopolis Way,,
Mustafa Centre,mall,1.3090727,103.856499,,Syed Alwi Road,,
Mustafa Centre,mall,1.3094159,103.8560571,,Syed Alwi Road,,
Mustafa Centre,mall,1.3097608,103.8557165,,Syed Alwi Road,https://mustafa.com.sg,
Midpoint Orchard,mall,1.3017606,103.8386507,,Orchard Road,,
Orchard Gateway,mall,1.3006994,103.8393128,,Orchard Road,http://www.orchardgateway.sg/,
Sunshine Place,mall,1.3777679,103.7390721,,Choa Chu Kang Avenue 3,,
Shaw Plaza,mall,1.3249782,103.8512532,,Balestier Road,https://shawplaza.sg/,+65 8902 7149
Joo Chiat Complex,mall,1.315894,103.8983948,,,,
,mall,1.3225781,103.8142376,,Bukit Timah Road,,
Loyang Point,mall,1.3669967,103.9646242,,Pasir Ris Drive 2,,
Punggol Plaza,mall,1.3942878,103.9130446,,Punggol Field,,
Paya Lebar Square,mall,1.3188127,103.8926009,,Paya Lebar Road,https://payalebarsquare.sg/,+65 6702 3107
CityLink Mall,mall,1.2922036,103.8545385,,,,
Esplanade Xchange,mall,1.2926076,103.8550321,,,,
Marina Bay Link Mall,mall,1.2809091,103.8537995,,,,
YewTee Point,mall,1.3970877,103.7466613,,Choa Chu Kang North 6,,
ION Orchard,mall,1.3039546,103.8319742,,Orchard Turn,https://www.ionorchard.com/,+65 62388228
Greenridge Shopping Centre,mall,1.3853423,103.7662295,,Jelapang Road,,
The Seletar Mall,mall,1.3915468,103.8761903,,Sengkang West Avenue,https://theseletarmall.com.sg/,
Yew Tee Square,mall,1.3982417,103.7470206,,,,
Limbang Shopping Centre,mall,1.3919798,103.7432115,,Choa Chu Kang Street 51,https://www.hdb.gov.sg/cs/infoweb/residential/where2shop/explore/choa-chu-kang/limbang-shopping-centre,
Fajar Shopping Centre,mall,1.3838176,103.770853,,,,
Junction 10,mall,1.3803346,103.7601666,,Woodlands Road,https://www.fareastmalls.com.sg/en/junction-10,+65 6773 6813
Jurong Point,mall,1.3395495,103.7057717,,Jurong West Central 2,,
Bugis Junction,mall,1.298913,103.8551667,,Victoria Street,,
Royal Square at Novena,mall,1.3205254,103.8432202,,,https://royal-square.com.sg/,+65 61001866
Orchard Shopping Centre,mall,1.3014967,103.8378882,,Orchard Road,,
Zhongshan Mall,mall,1.3271312,103.8464973,,Ah Hood Road,https://zhongshanmall.com.sg/,
Kallang Wave Mall,mall,1.3034697,103.8732445,,,,
Orchard Gateway @ Emerald,mall,1.301653,103.8388682,,Orchard Road,http://www.orchardgateway.sg/,
Waterway Point,mall,1.4064594,103.9022278,,Punggol Central,https://www.waterwaypoint.com.sg/,+65 6812 7300
Marina Square,mall,1.291286,103.857535,,Raffles Boulevard,https://www.marinasquare.com.sg/,+65 6339 8787
myVillage,mall,1.3651486,103.8651556,,Maju Avenue,,
Kang Kar Mall,mall,1.3717185,103.8942289,,,,
Jalan Besar Plaza,mall,1.3086303,103.8580368,,Kitchener Road,,
Balestier Plaza,mall,1.3257275,103.8503807,,Balestier Road,,
Kinex,mall,1.3146526,103.894811,,Tanjong Katong Road,https://www.kinex.com.sg/,
Roxy Square,mall,1.3042854,103.904122,,East Coast Road,,
Hillion Mall,mall,1.3784743,103.7632996,,Petir Road,https://www.hillionmall.com.sg/,+65 6769 0009
Fairprice Hub,mall,1.3260464,103.6783782,,Joon Koon Circle,,
HillV2 Mall,mall,1.3633978,103.7643632,,Hillview Rise,,
South Beach Quarter,mall,1.2957356,103.8561555,,,,
South Beach Avenue,mall,1.294755,103.8559721,,,,
Guoco Tower,mall,1.2770148,103.8454718,,Wallich Street,,
Suntec City,mall,1.2949832,103.8601422,,Temasek Boulevard,,
Suntec City,mall,1.2957767,103.8594878,,Temasek Boulevard,,
Grandlink Square,mall,1.3142925,103.8915347,,,,
Buangkok Square Mall,mall,1.3842992,103.8816182,,Buangkok Link,,
Northshore Plaza II,mall,1.4178949,103.9013214,,Northshore Drive,,
Marina One,mall,1.2772634,103.8529601,,,https://www.marinaone.com.sg/,
Duo Residences,mall,1.2998789,103.8586495,,,,
Bukit Panjang Plaza,mall,1.378632,103.7621096,,,,
Scotts Square,mall,1.3058338,103.8329328,,,,
Funan,mall,1.2913892,103.8499874,,North Bridge Road,https://www.capitaland.com/sg/malls/funan/en.html,
Clementi 321,mall,1.3119852,103.7650214,,Clementi Avenue 3,,
Wisteria Mall,mall,1.41826,103.8412699,,Yishun Ring Road,https://www.wisteriamall.com.sg/,+65 63590255
18 Tai Seng,mall,1.3362972,103.8888324,,Tai Seng Street,http://www.mapletree.com.sg/en/All-Properties/MIT/Singapore/18%20Tai%20Seng.aspx,
Wheelock Place,mall,1.3046867,103.8306774,,Orchard Road,https://wheelockplace.com/,
Junction Nine,mall,1.4331099,103.8416997,,,,
SingPost Centre,mall,1.3189978,103.8947938,,,,
Aperia Mall,mall,1.3102913,103.8639739,,Kallang Avenue,https://www.aperia.com.sg/,
MacPherson Mall,mall,1.331794,103.8793578,,MacPherson Road,,
Suntec City,mall,1.2960525,103.8587498,,Temasek Boulevard,,
Marsiling Mall Hawker Centre,mall,1.4335488,103.7799603,,Woodlands Street 12,,
Downtown Gallery,mall,1.2769037,103.8483666,,Shenton Way,https://downtowngallery.com.sg/,+65 65137727
Liat Towers,mall,1.3051056,103.8307274,,,,
,mall,1.3050285,103.8330776,,,,
Plaza Singapura,mall,1.3004574,103.8452085,,Orchard Road,https://www.capitaland.com/sg/malls/plazasingapura/en.html,+65 6332 9248
The Oasis,mall,1.2876789,103.7903736,,Science Park Drive,https://www.capitaland.com/sg/en/lease/businesspark-industrial-logistics-listing/the-rutherford-oasis.html,
Jewel Changi Basement,mall,1.3602685,103.9897711,,,,
Katong Square,mall,1.3047052,103.9047193,,East Coast Road,,
The Flow Mall,mall,1.3045553,103.9042659,,East Coast Road,http://thefloweastcoast.com/,
Le Quest Mall,mall,1.3559795,103.7411527,,Bukit Batok Street 41,,
Junction 8,mall,1.3505856,103.8486604,,Bishan Place,,
Design Orchard,mall,1.3020646,103.8379302,,Orchard Road,https://www.designorchard.sg/,
Bedok Mall,mall,1.3248368,103.929246,,New Upper Changi Road,,
Clarke Quay Central,mall,1.2889896,103.846628,,Eu Tong Sen Street,https://www.fareastmalls.com.sg/en/clarke-quay-central/,+65 6532 9922
Northpoint City,mall,1.4281701,103.8362366,,Yishun Avenue 2,https://www.northpointcity.com.sg/,+65 6754 2300
Canberra Plaza,mall,1.4431827,103.8305208,,Canberra View,,
Knightsbridge,mall,1.3031228,103.8363628,,"Orchard Rd,",,
Mandarin Gallery,mall,1.3020175,103.8365421,,,,
Bencoolen,mall,1.2984401,103.8499177,,,,
Jewel Changi Airport,mall,1.3602194,103.9896831,,Airport Boulevard,https://www.jewelchangiairport.com/,+65 6713 2888
Millenia Walk,mall,1.2926443,103.8593181,,Raffles Boulevard,https://www.milleniawalk.com/,+65 68831122
Quayside Isle,mall,1.2470884,103.8421833,,Ocean Way,https://www.quaysideisle.com/,
Quayside Isle,mall,1.2479587,103.8416778,,Ocean Way,https://www.quaysideisle.com/,
Alexandra Retail Centre,mall,1.2738572,103.8014062,,Alexandra Road,,
Changi City Point,mall,1.3340177,103.9630451,,,,
Liv@Changi,mall,1.3586506,103.9694484,,,,
Plantation Plaza,mall,1.3575333,103.7341702,,Tengah Drive,,
Trio,mall,1.3090874,103.856928,,Sam Leong Road,,
The Woodleigh Mall,mall,1.3386981,103.8717098,,Bidadari Park Drive,,
The Concourse,mall,1.3008746,103.8618842,,Beach Road,,
STELLAR@TE2,mall,1.4350534,103.7881753,,Woodlands Square,,
Sengkang Grand Mall,mall,1.3832033,103.8922549,,Compassvale Bow,,
Pasir Ris Mall,mall,1.3738493,103.9487932,,Pasir Ris Central,,
Eastlink Mall,mall,1.3543667,103.9442778,,Tampines Central 1,,
Dairy Farm Mall,mall,1.3660137,103.7750268,,,,
Balmoral Plaza,mall,1.3164924,103.8354561,,,,
One Holland Village,mall,1.3111168,103.7941049,,Holland Village Way,,
,mall,1.3227569,103.8140844,,Bukit Timah Road,,
,mall,1.3227493,103.8141285,,Bukit Timah Road,,
,mall,1.3227418,103.8141725,,Bukit Timah Road,,
,mall,1.3227343,103.8142161,,Bukit Timah Road,,
,mall,1.3227268,103.8142596,,Bukit Timah Road,,
,mall,1.3227193,103.8143032,,Bukit Timah Road,,
,mall,1.3227119,103.8143467,,Bukit Timah Road,,
,mall,1.3227045,103.8143899,,Bukit Timah Road,,
,mall,1.3226971,103.8144327,,Bukit Timah Road,,
,mall,1.3226155,103.814487,,Bukit Timah Road,,
Big Block,mall,1.2925509,103.8389758,,Kim Yam Road,,
Taman Jurong Shopping Centre,mall,1.3348278,103.7204648,,Yung Sheng Road,,
888 Plaza,mall,1.4378145,103.7952897,,,,
The Shoppes at Marina Bay Sands,mall,1.2840201,103.8588924,,Bayfront Avenue,https://www.marinabaysands.com/shopping.html,+65 6688 8868
VivoCity,mall,1.2643743,103.8220879,,Harbourfront Avenue,,
Boon Lay Shopping Centre,mall,1.3463274,103.7124831,,Boon Lay Place,,
,mall,1.389357,103.8493212,,Ang Mo Kio Street 65,,
Tampines Mart,mall,1.354402,103.9600729,,,,
Far East Plaza,mall,1.3071357,103.833913,,,,
Elias Mall,mall,1.3785776,103.942013,,Elias Road,,
Keat Hong Shopping Centre,mall,1.3773259,103.7444324,,Choa Chu Kang Avenue 1,,
Dawson Place,mall,1.2926708,103.8110959,,Strathmore Avenue,,
Bedok Mall,mall,1.3248368,103.929246,,New Upper Changi Road,https://www.capitaland.com/sg/malls/bedokmall/en.html,+65 6702 5120
Velocity @ Novena Square,mall,1.3197931,103.8438327,,Thomson Road,,
JEM,mall,1.3331331,103.7433992,,Jurong Gateway Road,,
Northshore Plaza I,mall,1.4166829,103.9020857,,Northshore Drive,,
Concorde Shopping Centre,mall,1.2889501,103.8342288,,Outram Road,,
The Woodgrove,mall,1.4290911,103.7811363,,Woodlands Avenue 1,,
Cluny Court,mall,1.3226411,103.814272,,Bukit Timah Road,https://www.clunycourt.com/,+65 6467 6077
Vista Point,mall,1.4309594,103.7939196,,,,
PARKTOWN,mall,1.3669054,103.9378084,,,,
